Construct_Name,Description,Source,Metadata_Value
Visual Abilities,Abilities related to visual sensory input,O*NET,1000
Near Vision,The ability to see details at close range (within a few feet of the observer).,O*NET,1000
Far Vision,The ability to see details at a distance.,O*NET,1000
Visual Color Discrimination,"The ability to match or detect differences between colors, including shades of color and brightness.",O*NET,1000
Night Vision,The ability to see under low-light conditions.,O*NET,1000
Peripheral Vision,The ability to see objects or movement of objects to one's side when the eyes are looking ahead.,O*NET,1000
Depth Perception,"The ability to judge which of several objects is closer or farther away from you, or to judge the distance between you and an object.",O*NET,1000
Glare Sensitivity,The ability to see objects in the presence of a glare or bright lighting.,O*NET,1000
Auditory and Speech Abilities,Abilities related to auditory and oral input,O*NET,1000
Hearing Sensitivity,The ability to detect or tell the differences between sounds that vary in pitch and loudness.,O*NET,1000
Auditory Attention,The ability to focus on a single source of sound in the presence of other distracting sounds.,O*NET,1000
Sound Localization,The ability to tell the direction from which a sound originated.,O*NET,1000
Speech Recognition,The ability to identify and understand the speech of another person.,O*NET,1000
Speech Clarity,The ability to speak clearly so others can understand you.,O*NET,1000
Interests and Work Values,Preferences for work environments and outcomes,O*NET,1000
General Occupational Interests,"Preferences for work environments. Occupational Interest Profiles (OIPs) are compatible with Holland's (1997) model of personality types and work environments. Six interest categories are used to describe the work environment of occupations: Realistic, Investigative, Artistic, Social, Enterprising, and Conventional. An OIP consists of six numerical scores indicating how descriptive and characteristic each work environment (or interest area) is for an O*NET-SOC occupation. In addition, a high-point profile has been assigned indicating which interests are most characteristic of an O*NET-SOC occupation. A high-point profile consists of one to three interest codes, depending on how many interest categories meet a minimum degree of descriptiveness for the O*NET-SOC occupation.",O*NET,1000
Realistic,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.",O*NET,1000
Investigative,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.",O*NET,1000
Artistic,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.",O*NET,1000
Social,"Work involves helping, teaching, advising, assisting, or providing service to others. Social occupations are often associated with social, health care, personal service, teaching/education, or religious activities.",O*NET,1000
Enterprising,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.",O*NET,1000
Conventional,"Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.",O*NET,1000
First Interest High-Point,Primary-Rank Descriptiveness,O*NET,1000
Second Interest High-Point,Secondary-Cutoff/Rank Descriptiveness,O*NET,1000
Third Interest High-Point,Tertiary-Cutoff/Rank Descriptiveness,O*NET,1000
Work Values,"Occupational Reinforcer Patterns (ORPs) indicate which work values and needs are likely to be reinforced or satisfied by a particular O*NET-SOC occupation. The use of work values to describe occupations is based on the Theory of Work Adjustment (TWA) developed during the Work Adjustment Project at the University of Minnesota under Research Grants from the U.S. Department of Health, Education and Welfare (Dawis, R.V., England, G.W., & Lofquist, L.H., 1964; Dawis, R.V., & Lofquist, L.H., 1984). This theory proposes that job satisfaction is directly related to the degree to which a person's values and corresponding needs are satisfied by his or her work environment. The TWA identifies six work values each with a corresponding set of needs.",O*NET,1000
Achievement,"Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.",O*NET,1000
Ability Utilization,Workers on this job make use of their individual abilities.,O*NET,1000
Working Conditions,"Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.",O*NET,1000
Activity,Workers on this job are busy all the time.,O*NET,1000
Independence,Workers on this job do their work alone.,O*NET,1000
Variety,Workers on this job have something different to do every day.,O*NET,1000
Compensation,Workers on this job are paid well in comparison with other workers.,O*NET,1000
Security,Workers on this job have steady employment.,O*NET,1000
Recognition,"Occupations that satisfy this work value offer advancement, potential for leadership, and are often considered prestigious. Corresponding needs are Advancement, Authority, Recognition and Social Status.",O*NET,1000
Advancement,Workers on this job have opportunities for advancement.,O*NET,1000
Authority,Workers on this job give directions and instructions to others.,O*NET,1000
Social Status,Workers on this job are looked up to by others in their company and their community.,O*NET,1000
Relationships,"Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service.",O*NET,1000
Co-workers,Workers on this job have co-workers who are easy to get along with.,O*NET,1000
Social Service,Workers on this job have work where they do things for other people.,O*NET,1000
Moral Values,Workers on this job are never pressured to do things that go against their sense of right and wrong.,O*NET,1000
Support,"Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.",O*NET,1000
Company Policies and Practices,Workers on this job are treated fairly by the company.,O*NET,1000
"Supervision, Human Relations",Workers on this job have supervisors who back up their workers with management.,O*NET,1000
"Supervision, Technical",Workers on this job have supervisors who train their workers well.,O*NET,1000
Creativity,Workers on this job try out their own ideas.,O*NET,1000
Responsibility,Workers on this job make decisions on their own.,O*NET,1000
Autonomy,Workers on this job plan their work with little supervision.,O*NET,1000
First Work Value High-Point,Primary-Rank Descriptiveness,O*NET,1000
Second Work Value High-Point,Secondary-Cutoff/Rank Descriptiveness,O*NET,1000
Third Work Value High-Point,Tertiary-Cutoff/Rank Descriptiveness,O*NET,1000
Basic Occupational Interests,"Specific, homogeneous facets of interests that group together work activities that share similar properties and represent the same abstract object.",O*NET,1000
Mechanics/Electronics,"Work involves maintaining and repairing of machinery, such as automotive engines, electronic equipment, computers, and communication systems.",O*NET,1000
Construction/Woodwork,"Work involves constructing, installing, or repairing structures and fixtures made of wood.",O*NET,1000
Transportation/Machine Operation,"Work involves driving vehicles, such as vans, trucks, trains, and buses to transport people or materials. Work can also involve operating heavy equipment, such as cranes, forklifts, bulldozers, and backhoes to move materials or earth.",O*NET,1000
Physical/Manual Labor,"Work involves manually unloading and moving freight, stock, luggage, or other materials, or performing other physical labor.",O*NET,1000
Protective Service,Work involves maintaining order and protecting life and property by conducting investigations and enforcing laws and regulations to prevent or solve crimes.,O*NET,1000
Agriculture,"Work involves planting, cultivating, and harvesting crops, plants, or trees, or raising farm animals. Work can also involve preparing plant and animal products for distribution to consumers, or protecting natural resources to maximize their use in farming.",O*NET,1000
Nature/Outdoors,"Work involves planning, restoring, and conserving natural areas and wildlife habitats.",O*NET,1000
Animal Service,"Work involves feeding, grooming, exercising, or otherwise providing care to promote and maintain the well-being of pets and other animals in settings such as kennels, animal shelters, and zoos.",O*NET,1000
Athletics,"Work involves training, practicing, or competing in athletic events, or supporting those participating in athletics through coaching, training, or officiating.",O*NET,1000
Engineering,"Work involves applying science and technology to the design, building, testing, and use of electrical and electronic components, mechanical devices and machines, automotive, marine, and aerospace equipment and vehicles, materials, or structures.",O*NET,1000
Physical Science,"Work involves studying and researching non-living objects, materials, and phenomena through scientific disciplines such as physics, chemistry, astronomy, meteorology, or geology.",O*NET,1000
Life Science,"Work involves studying and researching living organisms through scientific disciplines such as biology, botany, zoology, microbiology, physiology, biochemistry, or zoology.",O*NET,1000
Medical Science,"Work involves studying and researching the causes, nature, effects, and treatments of disease or other forms of impairment or illness.",O*NET,1000
Social Science,"Work involves studying and researching human behavior, society, politics, and social relationships through scientific disciplines such as psychology, sociology, economics, or political science.",O*NET,1000
Humanities,"Work involves studying and researching aspects of human history, culture, and language through disciplines such as history, philosophy, the language arts, or area/ethnic studies.",O*NET,1000
Mathematics/Statistics,Work involves developing and applying mathematics and statistical theory and methods.,O*NET,1000
Information Technology,"Work involves designing, developing, testing, and maintaining computer software, hardware, networks, and systems.",O*NET,1000
Visual Arts,Work involves creating original visual artwork for a variety of media and purposes using various techniques and software.,O*NET,1000
Applied Arts and Design,Work involves applying artistic principles to the design and creation of various objects and materials.,O*NET,1000
Performing Arts,"Work involves acting as a performer in dance, comedy, or dramatic productions, choreographing of dance performances, or producing of live or recorded entertainment.",O*NET,1000
Music,"Work involves conducting, composing, or playing music or singing.",O*NET,1000
Creative Writing,"Work involves developing creative written works, such as novels, scripts, song lyrics, poetry, stories, or advertisements.",O*NET,1000
Media,"Work involves producing, developing, writing, directing, or presenting information through print, radio, television, or digital media.",O*NET,1000
Culinary Art,"Work involves preparing, cooking, and presenting food in a distinctive style usually associated with a specific culture or region.",O*NET,1000
Teaching/Education,"Work involves teaching through lectures, discussions, and demonstrations in one or more subjects.",O*NET,1000
Health Care Service,"Work involves providing health care services to individuals to include the diagnosis, prevention, or treatment of diseases and other forms of illness or impairment.",O*NET,1000
Religious Activities,"Work involves conducting religious worship, leading a church or other religious group, and offering moral guidance associated with beliefs and practices of a religious faith.",O*NET,1000
Personal Service,"Work involves providing personal services to individuals in need of non-medical assistance such as helping arrange or plan for travel, meals, or events.",O*NET,1000
Professional Advising,"Work involves providing expert advice, coaching, and counseling on topics such as careers, educational opportunities, and educational and professional development.",O*NET,1000
Business Initiatives,Work involves creating strategic plans or taking actions to expand an organization's business or market share.,O*NET,1000
Sales,Work involves selling goods or services.,O*NET,1000
Marketing/Advertising,"Work involves promoting or creating a public image for products, services, or organizations to attract interest, engagement, or sales.",O*NET,1000
Finance,"Work involves directing and managing financial activities, such as planning and investments for an individual or organization to generate income.",O*NET,1000
Accounting,"Work involves examining, analyzing, and interpreting accounting records for financial statements, or maintaining, auditing, or evaluating records and accounts.",O*NET,1000
Human Resources,"Work involves recruiting, selecting, and training job applicants, maintaining employee personnel records, administering compensation and employee-benefit programs, and conducting employee performance reviews.",O*NET,1000
Office Work,"Work involves clerical and administrative tasks for an organization such as answering phones, bookkeeping, updating records, scheduling appointments or meetings, and editing of documents and files.",O*NET,1000
Management/Administration,"Work involves planning, directing, or coordinating the daily operations of an organization, and overseeing personnel, business, or administrative services.",O*NET,1000
Public Speaking,"Work involves speaking before an audience to educate, entertain, or influence the listeners.",O*NET,1000
Politics,Work involves engaging in political activities to influence government policy.,O*NET,1000
Law,Work involves studying and applying legal knowledge.,O*NET,1000
Work Styles,"Personality tendencies exhibited at work, which can affect how well someone performs a job.",O*NET,1000
Proactive and Growth Oriented,"A tendency to proactively pursue excellence through setting high standards, engaging in continuous learning, and persisting and adapting in the face of challenges and uncertainty at work.",O*NET,1000
Innovation,"A tendency to be inventive, to be imaginative, and to adopt new perspectives on ways to accomplish work.",O*NET,1000
Achievement Orientation,"A tendency to establish and maintain personally challenging work-related goals, set high work-related standards, and exert high effort toward meeting those goals and standards.",O*NET,1000
Intellectual Curiosity,A tendency to seek out and acquire new work-related knowledge and obtain a deep understanding of work-related subjects.,O*NET,1000
Tolerance for Ambiguity,A tendency to be comfortable with ambiguity and uncertainty at work.,O*NET,1000
Initiative,A tendency to be proactive and take on extra responsibilities and tasks that may fall outside of one's required work role.,O*NET,1000
Adaptability,"A tendency to be open to and comfortable with change, new experiences, or ideas at work.",O*NET,1000
Self-Confidence,A tendency to believe in one's work-related capabilities and ability to control one's work-related outcomes.,O*NET,1000
Perseverance,A tendency to exhibit determination and resolve to perform or complete tasks in the face of difficult circumstances or obstacles at work.,O*NET,1000
Leadership Orientation,"A tendency to lead, take charge, offer opinions, and provide direction at work.",O*NET,1000
Interpersonally Oriented,"A tendency to engage with others in a positive, supportive, selfless, and considerate manner at work.",O*NET,1000
Humility,A tendency to be modest and humble when interacting with others at work.,O*NET,1000
Sincerity,"A tendency to be genuine and sincere in interactions with others at work, without concern for personal gain or self-interest.",O*NET,1000
Empathy,A tendency to show concern for others and be sensitive to others' needs and feelings at work.,O*NET,1000
Cooperation,"A tendency to be pleasant, helpful, and willing to assist others at work.",O*NET,1000
Optimism,"A tendency to exhibit a positive attitude and positive emotions at work, even under difficult circumstances.",O*NET,1000
Social Orientation,"A tendency to seek out, enjoy, and be energized by social interaction at work.",O*NET,1000
Conscientious and Rule Oriented,"A tendency to approach work with careful attention to quality, reliability, and ethical standards while maintaining organized and thorough work practices.",O*NET,1000
Cautiousness,"A tendency to be careful, deliberate, and risk-avoidant when making work-related decisions or doing work.",O*NET,1000
Attention to Detail,"A tendency to be detail-oriented, organized, and thorough in completing work.",O*NET,1000
Dependability,"A tendency to be reliable, responsible, and consistent in meeting work-related obligations.",O*NET,1000
Integrity,A tendency to be honest and ethical at work.,O*NET,1000
Emotionally Resilient,"A tendency to maintain emotional stability and cope effectively in the face of adversity, criticism, or high-pressure situations at work.",O*NET,1000
Stress Tolerance,A tendency to cope and function effectively in stressful situations at work.,O*NET,1000
Self-Control,A tendency to remain calm and composed and to manage emotions effectively in response to criticism or difficult situations at work.,O*NET,1000
Worker Requirements,Worker Requirements,O*NET,1000
Basic Skills,Developed capacities that facilitate learning or the more rapid acquisition of knowledge,O*NET,1000
Content,Background structures needed to work with and acquire more specific skills in a variety of different domains,O*NET,1000
Reading Comprehension,Understanding written sentences and paragraphs in work-related documents.,O*NET,1000
Active Listening,"Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.",O*NET,1000
Writing,Communicating effectively in writing as appropriate for the needs of the audience.,O*NET,1000
Speaking,Talking to others to convey information effectively.,O*NET,1000
Mathematics,Using mathematics to solve problems.,O*NET,1000
Science,Using scientific rules and methods to solve problems.,O*NET,1000
Process,Procedures that contribute to the more rapid acquisition of knowledge and skill across a variety of domains,O*NET,1000
Critical Thinking,"Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems.",O*NET,1000
Active Learning,Understanding the implications of new information for both current and future problem-solving and decision-making.,O*NET,1000
Learning Strategies,Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.,O*NET,1000
Monitoring,"Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action.",O*NET,1000
Cross-Functional Skills,Developed capacities that facilitate performance of activities that occur across jobs,O*NET,1000
Social Skills,Developed capacities used to work with people to achieve goals,O*NET,1000
Social Perceptiveness,Being aware of others' reactions and understanding why they react as they do.,O*NET,1000
Coordination,Adjusting actions in relation to others' actions.,O*NET,1000
Persuasion,Persuading others to change their minds or behavior.,O*NET,1000
Negotiation,Bringing others together and trying to reconcile differences.,O*NET,1000
Instructing,Teaching others how to do something.,O*NET,1000
Service Orientation,Actively looking for ways to help people.,O*NET,1000
Complex Problem Solving Skills,"Developed capacities used to solve novel, ill-defined problems in complex, real-world settings",O*NET,1000
Complex Problem Solving,Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.,O*NET,1000
Technical Skills,"Developed capacities used to design, set-up, operate, and correct malfunctions involving application of machines or technological systems",O*NET,1000
Operations Analysis,Analyzing needs and product requirements to create a design.,O*NET,1000
Technology Design,Generating or adapting equipment and technology to serve user needs.,O*NET,1000
Equipment Selection,Determining the kind of tools and equipment needed to do a job.,O*NET,1000
Installation,"Installing equipment, machines, wiring, or programs to meet specifications.",O*NET,1000
Programming,Writing computer programs for various purposes.,O*NET,1000
Operations Monitoring,"Watching gauges, dials, or other indicators to make sure a machine is working properly.",O*NET,1000
Operation and Control,Controlling operations of equipment or systems.,O*NET,1000
Equipment Maintenance,Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.,O*NET,1000
Troubleshooting,Determining causes of operating errors and deciding what to do about it.,O*NET,1000
Repairing,Repairing machines or systems using the needed tools.,O*NET,1000
Quality Control Analysis,"Conducting tests and inspections of products, services, or processes to evaluate quality or performance.",O*NET,1000
Systems Skills,"Developed capacities used to understand, monitor, and improve socio-technical systems",O*NET,1000
Judgment and Decision Making,Considering the relative costs and benefits of potential actions to choose the most appropriate one.,O*NET,1000
Systems Analysis,"Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes.",O*NET,1000
Systems Evaluation,"Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system.",O*NET,1000
Resource Management Skills,Developed capacities used to allocate resources efficiently,O*NET,1000
Time Management,Managing one's own time and the time of others.,O*NET,1000
Management of Financial Resources,"Determining how money will be spent to get the work done, and accounting for these expenditures.",O*NET,1000
Management of Material Resources,"Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work.",O*NET,1000
Management of Personnel Resources,"Motivating, developing, and directing people as they work, identifying the best people for the job.",O*NET,1000
Knowledge,Organized sets of principles and facts applying in general domains,O*NET,1000
Business and Management,"Knowledge of principles and facts related to business administration and accounting, human and material resource management in organizations, sales and marketing, economics, and office information and organizing systems",O*NET,1000
Administration and Management,"Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.",O*NET,1000
Administrative,"Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.",O*NET,1000
Economics and Accounting,"Knowledge of economic and accounting principles and practices, the financial markets, banking, and the analysis and reporting of financial data.",O*NET,1000
Sales and Marketing,"Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems.",O*NET,1000
Customer and Personal Service,"Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.",O*NET,1000
Personnel and Human Resources,"Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems.",O*NET,1000
Manufacturing and Production,"Knowledge of principles and facts related to the production, processing, storage, and distribution of manufactured and agricultural goods",O*NET,1000
Production and Processing,"Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.",O*NET,1000
Food Production,"Knowledge of techniques and equipment for planting, growing, and harvesting food products (both plant and animal) for consumption, including storage/handling techniques.",O*NET,1000
Engineering and Technology,"Knowledge of the design, development, and application of technology for specific purposes.",O*NET,1000
Computers and Electronics,"Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.",O*NET,1000
Design,"Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.",O*NET,1000
Building and Construction,"Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.",O*NET,1000
Mechanical,"Knowledge of machines and tools, including their designs, uses, repair, and maintenance.",O*NET,1000
Mathematics and Science,"Knowledge of the history, theories, methods, and applications of the physical, biological, social, mathematical, and geography",O*NET,1000
Physics,"Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.",O*NET,1000
Chemistry,"Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.",O*NET,1000
Biology,"Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment.",O*NET,1000
Psychology,"Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders.",O*NET,1000
Sociology and Anthropology,"Knowledge of group behavior and dynamics, societal trends and influences, human migrations, ethnicity, cultures, and their history and origins.",O*NET,1000
Geography,"Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life.",O*NET,1000
Health Services,"Knowledge of principles and facts regarding diagnosing, curing, and preventing disease, and improving and preserving physical and mental health and well-being",O*NET,1000
Medicine and Dentistry,"Knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures.",O*NET,1000
Therapy and Counseling,"Knowledge of principles, methods, and procedures for diagnosis, treatment, and rehabilitation of physical and mental dysfunctions, and for career counseling and guidance.",O*NET,1000
Education and Training,"Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.",O*NET,1000
Arts and Humanities,"Knowledge of facts and principles related to the branches of learning concerned with human thought, language, and the arts.",O*NET,1000
English Language,"Knowledge of the structure and content of the English language including the meaning and spelling of words, and rules of composition and grammar.",O*NET,1000
Foreign Language,"Knowledge of the structure and content of a foreign (non-English) language including the meaning and spelling of words, rules of composition and grammar, and pronunciation.",O*NET,1000
Fine Arts,"Knowledge of the theory and techniques required to compose, produce, and perform works of music, dance, visual arts, drama, and sculpture.",O*NET,1000
History and Archeology,"Knowledge of historical events and their causes, indicators, and effects on civilizations and cultures.",O*NET,1000
Philosophy and Theology,"Knowledge of different philosophical systems and religions. This includes their basic principles, values, ethics, ways of thinking, customs, practices, and their impact on human culture.",O*NET,1000
Law and Public Safety,"Knowledge of regulations and methods for maintaining people and property free from danger, injury, or damage; the rules of public conduct established and enforced by legislation, and the political process establishing such rules.",O*NET,1000
Public Safety and Security,"Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.",O*NET,1000
Law and Government,"Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.",O*NET,1000
Communications,Knowledge of the science and art of delivering information,O*NET,1000
Telecommunications,"Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems.",O*NET,1000
Communications and Media,"Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.",O*NET,1000
Transportation,"Knowledge of principles and methods for moving people or goods by air, rail, sea, or road, including the relative costs and benefits.",O*NET,1000
Education,Prior educational experience required to perform in a job,O*NET,1000
Required Level of Education,The level of education required to perform a job.,O*NET,1000
Instructional Program Required,The instructional program required for this job,O*NET,1000
Education Level in Specific Subjects,"The amount of education required in 15 subject areas to perform in a job. Subject areas cover most of the courses that occur in high school, junior college, college undergraduate degree programs, and other education and training programs",O*NET,1000
