Construct_Name,Source,Definition_Text,Paper_Count,Reference_URLs
Supervisor,OpenAlex,"A supervisor, or lead, (also known as foreman, boss, overseer, facilitator, monitor, area coordinator, line-manager or sometimes gaffer) is the job title of a lower-level management position and role that is primarily based on authority over workers or a workplace. A supervisor can also be one of the most senior on the employees at a place of work, such as a professor who oversees a Ph.D. dissertation.",650,"https://doi.org/10.1111/j.1744-6570.2005.00672.x,https://doi.org/10.1037/0021-9010.87.3.565,https://doi.org/10.5465/1556375"
Personnel selection,OpenAlex,"Personnel selection is the methodical process used to hire (or, less commonly, promote) individuals. Although the term can apply to all aspects of the process (recruitment, selection, hiring, onboarding, acculturation, etc.) the most common meaning focuses on the selection of workers.",640,"https://doi.org/10.1111/j.1744-6570.1991.tb00688.x,https://doi.org/10.1037/0021-9010.88.3.500,https://doi.org/10.1111/j.1744-6570.1991.tb00696.x"
Job analysis,OpenAlex,Job analysis (also known as work analysis) is a family of procedures to identify the content of a job in terms of the activities it involves in addition to the attributes or requirements necessary to perform those activities. Job analysis provides information to organizations that helps them determine which employees are best fit for specific jobs.,639,"https://doi.org/10.1037/h0076546,https://doi.org/10.1037/0021-9010.91.6.1321,https://doi.org/10.1037/h0031152"
Organizational citizenship behavior,OpenAlex,"In industrial and organizational psychology, organizational citizenship behavior (OCB)  is a person's voluntary commitment within an organization or company that is not part of his or her contractual tasks. Organizational citizenship behavior has been studied since the late 1970s.",594,"https://doi.org/10.1006/jvbe.2001.1842,https://doi.org/10.1177/014920639101700305,https://doi.org/10.1037/0021-9010.86.3.425"
Construct validity,OpenAlex,Construct validity concerns how well a set of indicators represents or reflects a concept that is not directly measurable. Construct validation is the accumulation of evidence to support the interpretation of what a measure reflects.,498,"https://doi.org/10.1037/0021-9010.86.3.386,https://doi.org/10.1177/0149206307308913,https://doi.org/10.1006/jvbe.1996.0043"
Population,OpenAlex,"In biology, a population of organisms is a group of individuals of the same species, defined by a discontinuity or disjunction from other groups of individuals in certain characteristics, such as living area, genetic attributes, demographic structure. Among biologists, the term definition varies, in some cases significantly, and sometimes those variations can be confusing.",475,"https://doi.org/10.1016/j.jvb.2004.08.009,https://doi.org/10.1016/j.jvb.2020.103445,https://doi.org/10.1037/0021-9010.90.1.175"
Economic Justice,OpenAlex,"Economic justice is a component of social justice and welfare economics. It is a set of moral and ethical principles for building economic institutions, where the ultimate goal is to create an opportunity for each person to establish a sufficient material foundation upon which to have a dignified, productive, and creative life.",460,"https://doi.org/10.1037/0021-9010.86.3.425,https://doi.org/10.1037/0021-9010.86.3.386,https://doi.org/10.1177/014920639001600208"
Extraversion and introversion,OpenAlex,"Extraversion and introversion are a central trait dimension in human personality theory. The terms were introduced into psychology by Carl Jung, though both the popular understanding and current psychological usage are not the same as Jung's original concept.",460,"https://doi.org/10.1111/j.1744-6570.1991.tb00688.x,https://doi.org/10.1111/j.1744-6570.1995.tb01781.x,https://doi.org/10.1002/job.4030140202"
Situational ethics,OpenAlex,"Situational ethics or situation ethics takes into account only the particular context of an act when evaluating it ethically, rather than judging it only according to absolute moral standards. With the intent to have a fair basis for judgments or action, one looks to personal ideals of what is appropriate to guide them, rather than an unchanging universal code of conduct, such as Biblical law under divine command theory or the Kantian categorical imperative.",454,"https://doi.org/10.1037/0021-9010.88.3.500,https://doi.org/10.1037/0021-9010.85.5.678,https://doi.org/10.5465/amj.2009.43670890"
Organizational change,OpenAlex,"Organizational behavior or organisational behaviour (see spelling differences) is the ""study of human behavior in organizational settings, the interface between human behavior and the organization, and the organization itself"". Organizational behavioral research can be categorized in at least three ways:   individuals in organizations (micro-level) work groups (meso-level) how organizations behave (macro-level) Chester Barnard recognized that individuals behave differently when acting in their organizational role than when acting separately from the organization.",400,"https://doi.org/10.2307/256404,https://doi.org/10.2307/3069285,https://doi.org/10.2307/257008"
Worker Characteristics,O*NET,Worker Characteristics,0,https://www.onetonline.org/find/result?s=Worker+Characteristics
Abilities,O*NET,Enduring attributes of the individual that influence performance,0,https://www.onetonline.org/find/result?s=Abilities
Cognitive Abilities,O*NET,Abilities that influence the acquisition and application of knowledge in problem solving,0,https://www.onetonline.org/find/result?s=Cognitive+Abilities
Verbal Abilities,O*NET,Abilities that influence the acquisition and application of verbal information in problem solving,0,https://www.onetonline.org/find/result?s=Verbal+Abilities
Oral Comprehension,O*NET,The ability to listen to and understand information and ideas presented through spoken words and sentences.,0,https://www.onetonline.org/find/result?s=Oral+Comprehension
Written Comprehension,O*NET,The ability to read and understand information and ideas presented in writing.,0,https://www.onetonline.org/find/result?s=Written+Comprehension
Oral Expression,O*NET,The ability to communicate information and ideas in speaking so others will understand.,0,https://www.onetonline.org/find/result?s=Oral+Expression
Written Expression,O*NET,The ability to communicate information and ideas in writing so others will understand.,0,https://www.onetonline.org/find/result?s=Written+Expression
Idea Generation and Reasoning Abilities,O*NET,Abilities that influence the application and manipulation of information in problem solving,0,https://www.onetonline.org/find/result?s=Idea+Generation+and+Reasoning+Abilities
Fluency of Ideas,O*NET,"The ability to come up with a number of ideas about a topic (the number of ideas is important, not their quality, correctness, or creativity).",0,https://www.onetonline.org/find/result?s=Fluency+of+Ideas
Originality,O*NET,"The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem.",0,https://www.onetonline.org/find/result?s=Originality
Problem Sensitivity,O*NET,"The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing that there is a problem.",0,https://www.onetonline.org/find/result?s=Problem+Sensitivity
Deductive Reasoning,O*NET,The ability to apply general rules to specific problems to produce answers that make sense.,0,https://www.onetonline.org/find/result?s=Deductive+Reasoning
Inductive Reasoning,O*NET,The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events).,0,https://www.onetonline.org/find/result?s=Inductive+Reasoning
Information Ordering,O*NET,"The ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., patterns of numbers, letters, words, pictures, mathematical operations).",0,https://www.onetonline.org/find/result?s=Information+Ordering
Category Flexibility,O*NET,The ability to generate or use different sets of rules for combining or grouping things in different ways.,0,https://www.onetonline.org/find/result?s=Category+Flexibility
Quantitative Abilities,O*NET,Abilities that influence the solution of problems involving mathematical relationships,0,https://www.onetonline.org/find/result?s=Quantitative+Abilities
Mathematical Reasoning,O*NET,The ability to choose the right mathematical methods or formulas to solve a problem.,0,https://www.onetonline.org/find/result?s=Mathematical+Reasoning
Number Facility,O*NET,"The ability to add, subtract, multiply, or divide quickly and correctly.",0,https://www.onetonline.org/find/result?s=Number+Facility
Memory,O*NET,Abilities related to the recall of available information,0,https://www.onetonline.org/find/result?s=Memory
Memorization,O*NET,"The ability to remember information such as words, numbers, pictures, and procedures.",0,https://www.onetonline.org/find/result?s=Memorization
Perceptual Abilities,O*NET,Abilities related to the acquisition and organization of visual information,0,https://www.onetonline.org/find/result?s=Perceptual+Abilities
Speed of Closure,O*NET,"The ability to quickly make sense of, combine, and organize information into meaningful patterns.",0,https://www.onetonline.org/find/result?s=Speed+of+Closure
Flexibility of Closure,O*NET,"The ability to identify or detect a known pattern (a figure, object, word, or sound) that is hidden in other distracting material.",0,https://www.onetonline.org/find/result?s=Flexibility+of+Closure
Perceptual Speed,O*NET,"The ability to quickly and accurately compare similarities and differences among sets of letters, numbers, objects, pictures, or patterns. The things to be compared may be presented at the same time or one after the other. This ability also includes comparing a presented object with a remembered object.",0,https://www.onetonline.org/find/result?s=Perceptual+Speed
Spatial Abilities,O*NET,Abilities related to the manipulation and organization of spatial information,0,https://www.onetonline.org/find/result?s=Spatial+Abilities
Spatial Orientation,O*NET,The ability to know your location in relation to the environment or to know where other objects are in relation to you.,0,https://www.onetonline.org/find/result?s=Spatial+Orientation
Visualization,O*NET,The ability to imagine how something will look after it is moved around or when its parts are moved or rearranged.,0,https://www.onetonline.org/find/result?s=Visualization
Attentiveness,O*NET,Abilities related to application of attention,0,https://www.onetonline.org/find/result?s=Attentiveness
Selective Attention,O*NET,The ability to concentrate on a task over a period of time without being distracted.,0,https://www.onetonline.org/find/result?s=Selective+Attention
Time Sharing,O*NET,"The ability to shift back and forth between two or more activities or sources of information (such as speech, sounds, touch, or other sources).",0,https://www.onetonline.org/find/result?s=Time+Sharing
Psychomotor Abilities,O*NET,Abilities that influence the capacity to manipulate and control objects,0,https://www.onetonline.org/find/result?s=Psychomotor+Abilities
Fine Manipulative Abilities,O*NET,Abilities related to the manipulation of objects,0,https://www.onetonline.org/find/result?s=Fine+Manipulative+Abilities
Arm-Hand Steadiness,O*NET,The ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position.,0,https://www.onetonline.org/find/result?s=Arm-Hand+Steadiness
Manual Dexterity,O*NET,"The ability to quickly move your hand, your hand together with your arm, or your two hands to grasp, manipulate, or assemble objects.",0,https://www.onetonline.org/find/result?s=Manual+Dexterity
Finger Dexterity,O*NET,"The ability to make precisely coordinated movements of the fingers of one or both hands to grasp, manipulate, or assemble very small objects.",0,https://www.onetonline.org/find/result?s=Finger+Dexterity
Control Movement Abilities,O*NET,Abilities related to the control and manipulation of objects in time and space,0,https://www.onetonline.org/find/result?s=Control+Movement+Abilities
Control Precision,O*NET,The ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions.,0,https://www.onetonline.org/find/result?s=Control+Precision
Multilimb Coordination,O*NET,"The ability to coordinate two or more limbs (for example, two arms, two legs, or one leg and one arm) while sitting, standing, or lying down. It does not involve performing the activities while the whole body is in motion.",0,https://www.onetonline.org/find/result?s=Multilimb+Coordination
Response Orientation,O*NET,"The ability to choose quickly between two or more movements in response to two or more different signals (lights, sounds, pictures). It includes the speed with which the correct response is started with the hand, foot, or other body part.",0,https://www.onetonline.org/find/result?s=Response+Orientation
Rate Control,O*NET,The ability to time your movements or the movement of a piece of equipment in anticipation of changes in the speed and/or direction of a moving object or scene.,0,https://www.onetonline.org/find/result?s=Rate+Control
Reaction Time and Speed Abilities,O*NET,Abilities related to speed of manipulation of objects,0,https://www.onetonline.org/find/result?s=Reaction+Time+and+Speed+Abilities
Reaction Time,O*NET,"The ability to quickly respond (with the hand, finger, or foot) to a signal (sound, light, picture) when it appears.",0,https://www.onetonline.org/find/result?s=Reaction+Time
Wrist-Finger Speed,O*NET,"The ability to make fast, simple, repeated movements of the fingers, hands, and wrists.",0,https://www.onetonline.org/find/result?s=Wrist-Finger+Speed
Speed of Limb Movement,O*NET,The ability to quickly move the arms and legs.,0,https://www.onetonline.org/find/result?s=Speed+of+Limb+Movement
Physical Abilities,O*NET,"Abilities that influence strength, endurance, flexibility, balance and coordination",0,https://www.onetonline.org/find/result?s=Physical+Abilities
Physical Strength Abilities,O*NET,Abilities related to the capacity to exert force,0,https://www.onetonline.org/find/result?s=Physical+Strength+Abilities
Static Strength,O*NET,"The ability to exert maximum muscle force to lift, push, pull, or carry objects.",0,https://www.onetonline.org/find/result?s=Static+Strength
Explosive Strength,O*NET,"The ability to use short bursts of muscle force to propel oneself (as in jumping or sprinting), or to throw an object.",0,https://www.onetonline.org/find/result?s=Explosive+Strength
Dynamic Strength,O*NET,The ability to exert muscle force repeatedly or continuously over time. This involves muscular endurance and resistance to muscle fatigue.,0,https://www.onetonline.org/find/result?s=Dynamic+Strength
Trunk Strength,O*NET,"The ability to use your abdominal and lower back muscles to support part of the body repeatedly or continuously over time without ""giving out"" or fatiguing.",0,https://www.onetonline.org/find/result?s=Trunk+Strength
Endurance,O*NET,The ability to exert oneself physically over long periods without getting out of breath,0,https://www.onetonline.org/find/result?s=Endurance
Stamina,O*NET,The ability to exert yourself physically over long periods of time without getting winded or out of breath.,0,https://www.onetonline.org/find/result?s=Stamina
"Flexibility, Balance, and Coordination",O*NET,Abilities related to the control of gross body movements,0,https://www.onetonline.org/find/result?s=Flexibility%2C+Balance%2C+and+Coordination
Extent Flexibility,O*NET,"The ability to bend, stretch, twist, or reach with your body, arms, and/or legs.",0,https://www.onetonline.org/find/result?s=Extent+Flexibility
Dynamic Flexibility,O*NET,"The ability to quickly and repeatedly bend, stretch, twist, or reach out with your body, arms, and/or legs.",0,https://www.onetonline.org/find/result?s=Dynamic+Flexibility
Gross Body Coordination,O*NET,"The ability to coordinate the movement of your arms, legs, and torso together when the whole body is in motion.",0,https://www.onetonline.org/find/result?s=Gross+Body+Coordination
Gross Body Equilibrium,O*NET,The ability to keep or regain your body balance or stay upright when in an unstable position.,0,https://www.onetonline.org/find/result?s=Gross+Body+Equilibrium
Sensory Abilities,O*NET,"Abilities that influence visual, auditory and speech perception",0,https://www.onetonline.org/find/result?s=Sensory+Abilities
Visual Abilities,O*NET,Abilities related to visual sensory input,0,https://www.onetonline.org/find/result?s=Visual+Abilities
Near Vision,O*NET,The ability to see details at close range (within a few feet of the observer).,0,https://www.onetonline.org/find/result?s=Near+Vision
Far Vision,O*NET,The ability to see details at a distance.,0,https://www.onetonline.org/find/result?s=Far+Vision
Visual Color Discrimination,O*NET,"The ability to match or detect differences between colors, including shades of color and brightness.",0,https://www.onetonline.org/find/result?s=Visual+Color+Discrimination
Night Vision,O*NET,The ability to see under low-light conditions.,0,https://www.onetonline.org/find/result?s=Night+Vision
Peripheral Vision,O*NET,The ability to see objects or movement of objects to one's side when the eyes are looking ahead.,0,https://www.onetonline.org/find/result?s=Peripheral+Vision
Depth Perception,O*NET,"The ability to judge which of several objects is closer or farther away from you, or to judge the distance between you and an object.",0,https://www.onetonline.org/find/result?s=Depth+Perception
Glare Sensitivity,O*NET,The ability to see objects in the presence of a glare or bright lighting.,0,https://www.onetonline.org/find/result?s=Glare+Sensitivity
Auditory and Speech Abilities,O*NET,Abilities related to auditory and oral input,0,https://www.onetonline.org/find/result?s=Auditory+and+Speech+Abilities
Hearing Sensitivity,O*NET,The ability to detect or tell the differences between sounds that vary in pitch and loudness.,0,https://www.onetonline.org/find/result?s=Hearing+Sensitivity
Auditory Attention,O*NET,The ability to focus on a single source of sound in the presence of other distracting sounds.,0,https://www.onetonline.org/find/result?s=Auditory+Attention
Sound Localization,O*NET,The ability to tell the direction from which a sound originated.,0,https://www.onetonline.org/find/result?s=Sound+Localization
Speech Recognition,O*NET,The ability to identify and understand the speech of another person.,0,https://www.onetonline.org/find/result?s=Speech+Recognition
Speech Clarity,O*NET,The ability to speak clearly so others can understand you.,0,https://www.onetonline.org/find/result?s=Speech+Clarity
Interests and Work Values,O*NET,Preferences for work environments and outcomes,0,https://www.onetonline.org/find/result?s=Interests+and+Work+Values
General Occupational Interests,O*NET,"Preferences for work environments. Occupational Interest Profiles (OIPs) are compatible with Holland's (1997) model of personality types and work environments. Six interest categories are used to describe the work environment of occupations: Realistic, Investigative, Artistic, Social, Enterprising, and Conventional. An OIP consists of six numerical scores indicating how descriptive and characteristic each work environment (or interest area) is for an O*NET-SOC occupation. In addition, a high-point profile has been assigned indicating which interests are most characteristic of an O*NET-SOC occupation. A high-point profile consists of one to three interest codes, depending on how many interest categories meet a minimum degree of descriptiveness for the O*NET-SOC occupation.",0,https://www.onetonline.org/find/result?s=General+Occupational+Interests
Realistic,O*NET,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.",0,https://www.onetonline.org/find/result?s=Realistic
Investigative,O*NET,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.",0,https://www.onetonline.org/find/result?s=Investigative
Artistic,O*NET,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.",0,https://www.onetonline.org/find/result?s=Artistic
Social,O*NET,"Work involves helping, teaching, advising, assisting, or providing service to others. Social occupations are often associated with social, health care, personal service, teaching/education, or religious activities.",0,https://www.onetonline.org/find/result?s=Social
Enterprising,O*NET,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.",0,https://www.onetonline.org/find/result?s=Enterprising
Conventional,O*NET,"Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.",0,https://www.onetonline.org/find/result?s=Conventional
First Interest High-Point,O*NET,Primary-Rank Descriptiveness,0,https://www.onetonline.org/find/result?s=First+Interest+High-Point
Second Interest High-Point,O*NET,Secondary-Cutoff/Rank Descriptiveness,0,https://www.onetonline.org/find/result?s=Second+Interest+High-Point
Third Interest High-Point,O*NET,Tertiary-Cutoff/Rank Descriptiveness,0,https://www.onetonline.org/find/result?s=Third+Interest+High-Point
Work Values,O*NET,"Occupational Reinforcer Patterns (ORPs) indicate which work values and needs are likely to be reinforced or satisfied by a particular O*NET-SOC occupation. The use of work values to describe occupations is based on the Theory of Work Adjustment (TWA) developed during the Work Adjustment Project at the University of Minnesota under Research Grants from the U.S. Department of Health, Education and Welfare (Dawis, R.V., England, G.W., & Lofquist, L.H., 1964; Dawis, R.V., & Lofquist, L.H., 1984). This theory proposes that job satisfaction is directly related to the degree to which a person's values and corresponding needs are satisfied by his or her work environment. The TWA identifies six work values each with a corresponding set of needs.",0,https://www.onetonline.org/find/result?s=Work+Values
Achievement,O*NET,"Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.",0,https://www.onetonline.org/find/result?s=Achievement
Ability Utilization,O*NET,Workers on this job make use of their individual abilities.,0,https://www.onetonline.org/find/result?s=Ability+Utilization
Working Conditions,O*NET,"Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.",0,https://www.onetonline.org/find/result?s=Working+Conditions
Activity,O*NET,Workers on this job are busy all the time.,0,https://www.onetonline.org/find/result?s=Activity
Independence,O*NET,Workers on this job do their work alone.,0,https://www.onetonline.org/find/result?s=Independence
Variety,O*NET,Workers on this job have something different to do every day.,0,https://www.onetonline.org/find/result?s=Variety
Compensation,O*NET,Workers on this job are paid well in comparison with other workers.,0,https://www.onetonline.org/find/result?s=Compensation
Security,O*NET,Workers on this job have steady employment.,0,https://www.onetonline.org/find/result?s=Security
Recognition,O*NET,"Occupations that satisfy this work value offer advancement, potential for leadership, and are often considered prestigious. Corresponding needs are Advancement, Authority, Recognition and Social Status.",0,https://www.onetonline.org/find/result?s=Recognition
Advancement,O*NET,Workers on this job have opportunities for advancement.,0,https://www.onetonline.org/find/result?s=Advancement
Authority,O*NET,Workers on this job give directions and instructions to others.,0,https://www.onetonline.org/find/result?s=Authority
Social Status,O*NET,Workers on this job are looked up to by others in their company and their community.,0,https://www.onetonline.org/find/result?s=Social+Status
Relationships,O*NET,"Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service.",0,https://www.onetonline.org/find/result?s=Relationships
Co-workers,O*NET,Workers on this job have co-workers who are easy to get along with.,0,https://www.onetonline.org/find/result?s=Co-workers
Social Service,O*NET,Workers on this job have work where they do things for other people.,0,https://www.onetonline.org/find/result?s=Social+Service
Moral Values,O*NET,Workers on this job are never pressured to do things that go against their sense of right and wrong.,0,https://www.onetonline.org/find/result?s=Moral+Values
Support,O*NET,"Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.",0,https://www.onetonline.org/find/result?s=Support
Company Policies and Practices,O*NET,Workers on this job are treated fairly by the company.,0,https://www.onetonline.org/find/result?s=Company+Policies+and+Practices
"Supervision, Human Relations",O*NET,Workers on this job have supervisors who back up their workers with management.,0,https://www.onetonline.org/find/result?s=Supervision%2C+Human+Relations
"Supervision, Technical",O*NET,Workers on this job have supervisors who train their workers well.,0,https://www.onetonline.org/find/result?s=Supervision%2C+Technical
Creativity,O*NET,Workers on this job try out their own ideas.,0,https://www.onetonline.org/find/result?s=Creativity
Responsibility,O*NET,Workers on this job make decisions on their own.,0,https://www.onetonline.org/find/result?s=Responsibility
Autonomy,O*NET,Workers on this job plan their work with little supervision.,0,https://www.onetonline.org/find/result?s=Autonomy
First Work Value High-Point,O*NET,Primary-Rank Descriptiveness,0,https://www.onetonline.org/find/result?s=First+Work+Value+High-Point
Second Work Value High-Point,O*NET,Secondary-Cutoff/Rank Descriptiveness,0,https://www.onetonline.org/find/result?s=Second+Work+Value+High-Point
Third Work Value High-Point,O*NET,Tertiary-Cutoff/Rank Descriptiveness,0,https://www.onetonline.org/find/result?s=Third+Work+Value+High-Point
Basic Occupational Interests,O*NET,"Specific, homogeneous facets of interests that group together work activities that share similar properties and represent the same abstract object.",0,https://www.onetonline.org/find/result?s=Basic+Occupational+Interests
Mechanics/Electronics,O*NET,"Work involves maintaining and repairing of machinery, such as automotive engines, electronic equipment, computers, and communication systems.",0,https://www.onetonline.org/find/result?s=Mechanics%2FElectronics
Construction/Woodwork,O*NET,"Work involves constructing, installing, or repairing structures and fixtures made of wood.",0,https://www.onetonline.org/find/result?s=Construction%2FWoodwork
Transportation/Machine Operation,O*NET,"Work involves driving vehicles, such as vans, trucks, trains, and buses to transport people or materials. Work can also involve operating heavy equipment, such as cranes, forklifts, bulldozers, and backhoes to move materials or earth.",0,https://www.onetonline.org/find/result?s=Transportation%2FMachine+Operation
Physical/Manual Labor,O*NET,"Work involves manually unloading and moving freight, stock, luggage, or other materials, or performing other physical labor.",0,https://www.onetonline.org/find/result?s=Physical%2FManual+Labor
Protective Service,O*NET,Work involves maintaining order and protecting life and property by conducting investigations and enforcing laws and regulations to prevent or solve crimes.,0,https://www.onetonline.org/find/result?s=Protective+Service
Agriculture,O*NET,"Work involves planting, cultivating, and harvesting crops, plants, or trees, or raising farm animals. Work can also involve preparing plant and animal products for distribution to consumers, or protecting natural resources to maximize their use in farming.",0,https://www.onetonline.org/find/result?s=Agriculture
Nature/Outdoors,O*NET,"Work involves planning, restoring, and conserving natural areas and wildlife habitats.",0,https://www.onetonline.org/find/result?s=Nature%2FOutdoors
Animal Service,O*NET,"Work involves feeding, grooming, exercising, or otherwise providing care to promote and maintain the well-being of pets and other animals in settings such as kennels, animal shelters, and zoos.",0,https://www.onetonline.org/find/result?s=Animal+Service
Athletics,O*NET,"Work involves training, practicing, or competing in athletic events, or supporting those participating in athletics through coaching, training, or officiating.",0,https://www.onetonline.org/find/result?s=Athletics
Engineering,O*NET,"Work involves applying science and technology to the design, building, testing, and use of electrical and electronic components, mechanical devices and machines, automotive, marine, and aerospace equipment and vehicles, materials, or structures.",0,https://www.onetonline.org/find/result?s=Engineering
Physical Science,O*NET,"Work involves studying and researching non-living objects, materials, and phenomena through scientific disciplines such as physics, chemistry, astronomy, meteorology, or geology.",0,https://www.onetonline.org/find/result?s=Physical+Science
Life Science,O*NET,"Work involves studying and researching living organisms through scientific disciplines such as biology, botany, zoology, microbiology, physiology, biochemistry, or zoology.",0,https://www.onetonline.org/find/result?s=Life+Science
Medical Science,O*NET,"Work involves studying and researching the causes, nature, effects, and treatments of disease or other forms of impairment or illness.",0,https://www.onetonline.org/find/result?s=Medical+Science
Social Science,O*NET,"Work involves studying and researching human behavior, society, politics, and social relationships through scientific disciplines such as psychology, sociology, economics, or political science.",0,https://www.onetonline.org/find/result?s=Social+Science
Humanities,O*NET,"Work involves studying and researching aspects of human history, culture, and language through disciplines such as history, philosophy, the language arts, or area/ethnic studies.",0,https://www.onetonline.org/find/result?s=Humanities
Mathematics/Statistics,O*NET,Work involves developing and applying mathematics and statistical theory and methods.,0,https://www.onetonline.org/find/result?s=Mathematics%2FStatistics
Information Technology,O*NET,"Work involves designing, developing, testing, and maintaining computer software, hardware, networks, and systems.",0,https://www.onetonline.org/find/result?s=Information+Technology
Visual Arts,O*NET,Work involves creating original visual artwork for a variety of media and purposes using various techniques and software.,0,https://www.onetonline.org/find/result?s=Visual+Arts
Applied Arts and Design,O*NET,Work involves applying artistic principles to the design and creation of various objects and materials.,0,https://www.onetonline.org/find/result?s=Applied+Arts+and+Design
Performing Arts,O*NET,"Work involves acting as a performer in dance, comedy, or dramatic productions, choreographing of dance performances, or producing of live or recorded entertainment.",0,https://www.onetonline.org/find/result?s=Performing+Arts
