Construct_Name,Source,Journal,Year,Concept_Level,Paper_Count,Journal_Tier,Is_Noise,Noise_Reasons
Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),OpenAlex,Journal of Applied Psychology,2021,5,16,Tier_1_Core_IO,False,
Internal consistency,OpenAlex,Journal of Vocational Behavior,2012,3,15,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Academy of Management Journal,1980,3,15,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Journal of Applied Psychology,1974,3,15,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2003,3,15,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2020,3,15,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2023,3,15,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Occupational and Organizational Psychology,2006,3,15,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Vocational Behavior,2015,3,15,Tier_2_Broad_Adjacent,False,
Organizational citizenship behavior,OpenAlex,Journal of Applied Psychology,2010,3,15,Tier_1_Core_IO,False,
Big Five personality traits,OpenAlex,Journal of Applied Psychology,2003,3,14,Tier_1_Core_IO,False,
Big Five personality traits,OpenAlex,Journal of Vocational Behavior,2015,3,14,Tier_2_Broad_Adjacent,False,
Executive compensation,OpenAlex,Academy of Management Journal,1998,3,14,Tier_2_Broad_Adjacent,False,
Job attitude,OpenAlex,Journal of Applied Psychology,1977,4,14,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1975,3,14,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1992,3,14,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2019,3,14,Tier_1_Core_IO,False,
Organizational citizenship behavior,OpenAlex,Journal of Applied Psychology,2002,3,14,Tier_1_Core_IO,False,
Organizational justice,OpenAlex,Journal of Applied Psychology,2001,3,14,Tier_1_Core_IO,False,
Test validity,OpenAlex,Journal of Applied Psychology,1988,3,14,Tier_1_Core_IO,False,
Test validity,OpenAlex,Journal of Applied Psychology,1991,3,14,Tier_1_Core_IO,False,
Big Five personality traits,OpenAlex,Journal of Applied Psychology,2010,3,13,Tier_1_Core_IO,False,
Job analysis,OpenAlex,Journal of Applied Psychology,1986,3,13,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Applied Psychology,1980,4,13,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Vocational Behavior,2010,4,13,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Academy of Management Journal,1974,3,13,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Academy of Management Journal,1981,3,13,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Journal of Applied Psychology,1966,3,13,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1973,3,13,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1994,3,13,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2015,3,13,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2022,3,13,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Organizational Behavior,2010,3,13,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Vocational Behavior,2003,3,13,Tier_2_Broad_Adjacent,False,
Test validity,OpenAlex,Journal of Applied Psychology,1994,3,13,Tier_1_Core_IO,False,
Test validity,OpenAlex,Journal of Applied Psychology,2001,3,13,Tier_1_Core_IO,False,
2019-20 coronavirus outbreak,OpenAlex,Journal of Applied Psychology,2020,3,12,Tier_1_Core_IO,False,
Big Five personality traits,OpenAlex,Journal of Applied Psychology,2000,3,12,Tier_1_Core_IO,False,
Big Five personality traits,OpenAlex,Journal of Applied Psychology,2021,3,12,Tier_1_Core_IO,False,
Job analysis,OpenAlex,Journal of Applied Psychology,1985,3,12,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Applied Psychology,1991,4,12,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Applied Psychology,2001,4,12,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Occupational and Organizational Psychology,2006,4,12,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Vocational Behavior,2003,4,12,Tier_2_Broad_Adjacent,False,
Job design,OpenAlex,Journal of Applied Psychology,1977,4,12,Tier_1_Core_IO,False,
Job performance,OpenAlex,Academy of Management Journal,1979,3,12,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Journal of Applied Psychology,1981,3,12,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1982,3,12,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2008,3,12,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Organizational Behavior,1998,3,12,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Organizational Behavior,1999,3,12,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Vocational Behavior,2013,3,12,Tier_2_Broad_Adjacent,False,
Organizational citizenship behavior,OpenAlex,Journal of Applied Psychology,2001,3,12,Tier_1_Core_IO,False,
Resource-based view,OpenAlex,Journal of Management,2021,3,12,Tier_2_Broad_Adjacent,False,
Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),OpenAlex,Journal of Applied Psychology,2020,5,12,Tier_1_Core_IO,False,
Test validity,OpenAlex,Journal of Applied Psychology,1976,3,12,Tier_1_Core_IO,False,
Test validity,OpenAlex,Journal of Applied Psychology,1978,3,12,Tier_1_Core_IO,False,
Test validity,OpenAlex,Journal of Applied Psychology,2002,3,12,Tier_1_Core_IO,False,
Big Five personality traits,OpenAlex,Journal of Applied Psychology,2002,3,11,Tier_1_Core_IO,False,
Big Five personality traits,OpenAlex,Journal of Applied Psychology,2006,3,11,Tier_1_Core_IO,False,
Construct validity,OpenAlex,Journal of Applied Psychology,2002,3,11,Tier_1_Core_IO,False,
Extraversion and introversion,OpenAlex,Journal of Vocational Behavior,2015,4,11,Tier_2_Broad_Adjacent,False,
Job attitude,OpenAlex,Journal of Applied Psychology,1978,4,11,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Applied Psychology,1988,4,11,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Applied Psychology,1989,4,11,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Applied Psychology,2005,4,11,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Applied Psychology,2021,4,11,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Vocational Behavior,2013,4,11,Tier_2_Broad_Adjacent,False,
Job attitude,OpenAlex,Journal of Vocational Behavior,2017,4,11,Tier_2_Broad_Adjacent,False,
Job design,OpenAlex,Journal of Organizational Behavior,2010,4,11,Tier_1_Core_IO,False,
Job performance,OpenAlex,Academy of Management Journal,1975,3,11,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Academy of Management Journal,1976,3,11,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Academy of Management Journal,1985,3,11,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Journal of Applied Psychology,1971,3,11,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1987,3,11,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1990,3,11,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2018,3,11,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Occupational and Organizational Psychology,2014,3,11,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Vocational Behavior,1978,3,11,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Journal of Vocational Behavior,2006,3,11,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Journal of Vocational Behavior,2011,3,11,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Journal of Vocational Behavior,2021,3,11,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Journal of Vocational Behavior,2022,3,11,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Personnel Psychology,1978,3,11,Tier_1_Core_IO,False,
Organizational justice,OpenAlex,Journal of Vocational Behavior,2001,3,11,Tier_2_Broad_Adjacent,False,
Pandemic,OpenAlex,Journal of Applied Psychology,2020,5,11,Tier_1_Core_IO,False,
Procedural justice,OpenAlex,Journal of Applied Psychology,2001,3,11,Tier_1_Core_IO,False,
Test validity,OpenAlex,Journal of Applied Psychology,1987,3,11,Tier_1_Core_IO,False,
Test validity,OpenAlex,Journal of Applied Psychology,1990,3,11,Tier_1_Core_IO,False,
Test validity,OpenAlex,Journal of Applied Psychology,1999,3,11,Tier_1_Core_IO,False,
Big Five personality traits,OpenAlex,Journal of Applied Psychology,2009,3,10,Tier_1_Core_IO,False,
Big Five personality traits,OpenAlex,Journal of Applied Psychology,2014,3,10,Tier_1_Core_IO,False,
Conscientiousness,OpenAlex,Journal of Applied Psychology,2002,5,10,Tier_1_Core_IO,False,
Coronavirus disease 2019 (COVID-19),OpenAlex,Journal of Vocational Behavior,2020,4,10,Tier_2_Broad_Adjacent,False,
Employee morale,OpenAlex,Academy of Management Journal,1981,3,10,Tier_2_Broad_Adjacent,False,
Extraversion and introversion,OpenAlex,Journal of Applied Psychology,2001,4,10,Tier_1_Core_IO,False,
Extraversion and introversion,OpenAlex,Journal of Applied Psychology,2002,4,10,Tier_1_Core_IO,False,
Halo,OpenAlex,Journal of Applied Psychology,1986,3,10,Tier_1_Core_IO,False,
Infectious disease (medical specialty),OpenAlex,Journal of Vocational Behavior,2020,3,10,Tier_2_Broad_Adjacent,False,
Job analysis,OpenAlex,Academy of Management Journal,1980,3,10,Tier_2_Broad_Adjacent,False,
Job analysis,OpenAlex,Journal of Applied Psychology,1977,3,10,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Applied Psychology,1996,4,10,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Applied Psychology,2000,4,10,Tier_1_Core_IO,False,
Job design,OpenAlex,Journal of Applied Psychology,1991,4,10,Tier_1_Core_IO,False,
Job performance,OpenAlex,Academy of Management Journal,1983,3,10,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Academy of Management Journal,1986,3,10,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Academy of Management Journal,2001,3,10,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Journal of Applied Psychology,1969,3,10,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1972,3,10,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1979,3,10,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2011,3,10,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2017,3,10,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Management,2000,3,10,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Journal of Organizational Behavior,2012,3,10,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Vocational Behavior,2009,3,10,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Journal of Vocational Behavior,2018,3,10,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Journal of Vocational Behavior,2020,3,10,Tier_2_Broad_Adjacent,False,
Organizational citizenship behavior,OpenAlex,Academy of Management Journal,1994,3,10,Tier_2_Broad_Adjacent,False,
Organizational citizenship behavior,OpenAlex,Journal of Applied Psychology,2006,3,10,Tier_1_Core_IO,False,
Organizational citizenship behavior,OpenAlex,Journal of Applied Psychology,2009,3,10,Tier_1_Core_IO,False,
Organizational citizenship behavior,OpenAlex,Journal of Applied Psychology,2011,3,10,Tier_1_Core_IO,False,
Test validity,OpenAlex,Journal of Applied Psychology,1953,3,10,Tier_1_Core_IO,False,
Test validity,OpenAlex,Journal of Applied Psychology,1975,3,10,Tier_1_Core_IO,False,
Validation test,OpenAlex,Journal of Applied Psychology,1982,4,10,Tier_1_Core_IO,False,
Big Five personality traits,OpenAlex,Journal of Applied Psychology,1999,3,9,Tier_1_Core_IO,False,
Big Five personality traits,OpenAlex,Journal of Applied Psychology,2007,3,9,Tier_1_Core_IO,False,
Big Five personality traits,OpenAlex,Journal of Applied Psychology,2008,3,9,Tier_1_Core_IO,False,
Big Five personality traits,OpenAlex,Journal of Vocational Behavior,2010,3,9,Tier_2_Broad_Adjacent,False,
Big Five personality traits,OpenAlex,Journal of Vocational Behavior,2012,3,9,Tier_2_Broad_Adjacent,False,
Citizenship,OpenAlex,Academy of Management Journal,1994,3,9,Tier_2_Broad_Adjacent,False,
Construct validity,OpenAlex,Journal of Applied Psychology,2021,3,9,Tier_1_Core_IO,False,
Employee research,OpenAlex,Academy of Management Journal,2001,3,9,Tier_2_Broad_Adjacent,False,
Extraversion and introversion,OpenAlex,Journal of Applied Psychology,2009,4,9,Tier_1_Core_IO,False,
Extraversion and introversion,OpenAlex,Journal of Applied Psychology,2010,4,9,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Applied Psychology,1972,4,9,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Applied Psychology,1975,4,9,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Applied Psychology,1987,4,9,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Applied Psychology,2002,4,9,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Applied Psychology,2010,4,9,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Organizational Behavior,1998,4,9,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Vocational Behavior,2006,4,9,Tier_2_Broad_Adjacent,False,
Job attitude,OpenAlex,Journal of Vocational Behavior,2021,4,9,Tier_2_Broad_Adjacent,False,
Job design,OpenAlex,Academy of Management Journal,1977,4,9,Tier_2_Broad_Adjacent,False,
Job design,OpenAlex,Academy of Management Journal,1984,4,9,Tier_2_Broad_Adjacent,False,
Job design,OpenAlex,Journal of Applied Psychology,1988,4,9,Tier_1_Core_IO,False,
Job performance,OpenAlex,Academy of Management Journal,1982,3,9,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Academy of Management Journal,1994,3,9,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Academy of Management Journal,2000,3,9,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Journal of Applied Psychology,1968,3,9,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1970,3,9,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1984,3,9,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2004,3,9,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2024,3,9,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Occupational and Organizational Psychology,2008,3,9,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Occupational and Organizational Psychology,2025,3,9,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Organizational Behavior,2016,3,9,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Vocational Behavior,2007,3,9,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Personnel Psychology,2010,3,9,Tier_1_Core_IO,False,
Organizational citizenship behavior,OpenAlex,Journal of Applied Psychology,2005,3,9,Tier_1_Core_IO,False,
Organizational citizenship behavior,OpenAlex,Journal of Organizational Behavior,2012,3,9,Tier_1_Core_IO,False,
Pandemic,OpenAlex,Journal of Vocational Behavior,2020,5,9,Tier_2_Broad_Adjacent,False,
Procedural justice,OpenAlex,Journal of Applied Psychology,2009,3,9,Tier_1_Core_IO,False,
Test validity,OpenAlex,Journal of Applied Psychology,1980,3,9,Tier_1_Core_IO,False,
Test validity,OpenAlex,Journal of Applied Psychology,1983,3,9,Tier_1_Core_IO,False,
Test validity,OpenAlex,Journal of Applied Psychology,1993,3,9,Tier_1_Core_IO,False,
Test validity,OpenAlex,Journal of Applied Psychology,1997,3,9,Tier_1_Core_IO,False,
Big Five personality traits,OpenAlex,Journal of Applied Psychology,2011,3,8,Tier_1_Core_IO,False,
Big Five personality traits,OpenAlex,Journal of Applied Psychology,2012,3,8,Tier_1_Core_IO,False,
Big Five personality traits,OpenAlex,Journal of Applied Psychology,2013,3,8,Tier_1_Core_IO,False,
Big Five personality traits,OpenAlex,Journal of Applied Psychology,2015,3,8,Tier_1_Core_IO,False,
Big Five personality traits,OpenAlex,Journal of Applied Psychology,2019,3,8,Tier_1_Core_IO,False,
Big Five personality traits,OpenAlex,Journal of Applied Psychology,2020,3,8,Tier_1_Core_IO,False,
Big Five personality traits,OpenAlex,Journal of Management,2014,3,8,Tier_2_Broad_Adjacent,False,
Big Five personality traits,OpenAlex,Journal of Vocational Behavior,2003,3,8,Tier_2_Broad_Adjacent,False,
Big Five personality traits,OpenAlex,Journal of Vocational Behavior,2013,3,8,Tier_2_Broad_Adjacent,False,
Big Five personality traits,OpenAlex,Journal of Vocational Behavior,2021,3,8,Tier_2_Broad_Adjacent,False,
Big Five personality traits,OpenAlex,Personnel Psychology,2007,3,8,Tier_1_Core_IO,False,
Cognitive Information Processing,OpenAlex,Journal of Vocational Behavior,2003,3,8,Tier_2_Broad_Adjacent,False,
Conscientiousness,OpenAlex,Journal of Applied Psychology,2001,5,8,Tier_1_Core_IO,False,
Conscientiousness,OpenAlex,Journal of Applied Psychology,2009,5,8,Tier_1_Core_IO,False,
Conscientiousness,OpenAlex,Journal of Vocational Behavior,2015,5,8,Tier_2_Broad_Adjacent,False,
Construct validity,OpenAlex,Journal of Applied Psychology,1989,3,8,Tier_1_Core_IO,False,
Executive compensation,OpenAlex,Academy of Management Journal,2003,3,8,Tier_2_Broad_Adjacent,False,
Extraversion and introversion,OpenAlex,Journal of Applied Psychology,2000,4,8,Tier_1_Core_IO,False,
Extraversion and introversion,OpenAlex,Journal of Applied Psychology,2006,4,8,Tier_1_Core_IO,False,
Eye movement desensitization and reprocessing,OpenAlex,Applied Psychology: An International Review,2012,3,8,Tier_2_Broad_Adjacent,False,
Halo,OpenAlex,Journal of Applied Psychology,1982,3,8,Tier_1_Core_IO,False,
Incremental validity,OpenAlex,Journal of Applied Psychology,1996,4,8,Tier_1_Core_IO,False,
Job analysis,OpenAlex,Academy of Management Journal,1977,3,8,Tier_2_Broad_Adjacent,False,
Job analysis,OpenAlex,Journal of Applied Psychology,1976,3,8,Tier_1_Core_IO,False,
Job analysis,OpenAlex,Journal of Applied Psychology,1993,3,8,Tier_1_Core_IO,False,
Job analysis,OpenAlex,Personnel Psychology,1979,3,8,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Academy of Management Journal,1978,4,8,Tier_2_Broad_Adjacent,False,
Job attitude,OpenAlex,Journal of Applied Psychology,1976,4,8,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Applied Psychology,1983,4,8,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Applied Psychology,1997,4,8,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Applied Psychology,1998,4,8,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Applied Psychology,1999,4,8,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Management,2000,4,8,Tier_2_Broad_Adjacent,False,
Job attitude,OpenAlex,Journal of Organizational Behavior,1999,4,8,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Vocational Behavior,1978,4,8,Tier_2_Broad_Adjacent,False,
Job attitude,OpenAlex,Journal of Vocational Behavior,1991,4,8,Tier_2_Broad_Adjacent,False,
Job attitude,OpenAlex,Journal of Vocational Behavior,2005,4,8,Tier_2_Broad_Adjacent,False,
Job attitude,OpenAlex,Journal of Vocational Behavior,2011,4,8,Tier_2_Broad_Adjacent,False,
Job design,OpenAlex,Academy of Management Journal,1978,4,8,Tier_2_Broad_Adjacent,False,
Job design,OpenAlex,Academy of Management Journal,1980,4,8,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Journal of Applied Psychology,1965,3,8,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2012,3,8,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2016,3,8,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2025,3,8,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2026,3,8,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Management,2011,3,8,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Journal of Occupational and Organizational Psychology,2009,3,8,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Occupational and Organizational Psychology,2013,3,8,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Organizational Behavior,2000,3,8,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Organizational Behavior,2001,3,8,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Organizational Behavior,2003,3,8,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Organizational Behavior,2006,3,8,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Vocational Behavior,1991,3,8,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Journal of Vocational Behavior,2005,3,8,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Journal of Vocational Behavior,2008,3,8,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Journal of Vocational Behavior,2014,3,8,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Journal of Vocational Behavior,2016,3,8,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Personnel Psychology,1981,3,8,Tier_1_Core_IO,False,
Job performance,OpenAlex,Personnel Psychology,1983,3,8,Tier_1_Core_IO,False,
Job performance,OpenAlex,Personnel Psychology,1994,3,8,Tier_1_Core_IO,False,
Job performance,OpenAlex,Personnel Psychology,2015,3,8,Tier_1_Core_IO,False,
